Ti,Ti_prime,To,a
27.446,31.298,-1.7,6000
31.298,31.311,-0.1,10000
31.311,27.634,1.2,10000
27.634,27.515,2.7,6000
27.515,27.46,2.4,6000
27.46,27.443,2,6000
27.443,31.446,1.7,6000
31.446,32.01,0.4,10000
32.01,32.573,-0.8,10000
32.573,32.672,-2.2,10000
32.672,32.652,-2.7,10000
32.652,32.594,-3.2,10000
32.594,32.504,-3.9,10000
32.504,32.421,-4,10000
32.421,28.406,-4,10000
28.406,22.517,-4.4,6000
22.517,28.086,-3.7,0
28.086,28.165,-3.2,6000
28.165,28.173,-2.7,6000
28.173,22.32,-2.5,6000
22.32,31.669,-2.2,0
31.669,28.129,-2.2,10000
28.129,31.992,-1.8,6000
31.992,28.255,-1.7,10000
28.255,31.968,-1.7,6000
31.968,31.968,-1.6,10000
31.968,27.987,-1.6,10000
27.987,28.058,-1.7,6000
28.058,28.339,-1.3,6000
28.339,28.583,-1.2,6000
28.583,32.414,-1.1,6000
32.414,32.472,-2,10000
32.472,32.358,-3.2,10000
32.358,32.448,-4.4,10000
32.448,32.651,-4,10000
32.651,32.768,-4,10000
32.768,32.736,-3.9,10000
32.736,32.506,-4.5,10000
32.506,28.525,-5.3,10000
28.525,22.399,-6,6000
22.399,27.562,-6.9,0
27.562,27.285,-7.9,6000
27.285,27.003,-8.8,6000
27.003,20.807,-9.6,6000
20.807,29.74,-10.6,0
29.74,26.105,-11.6,10000
26.105,30.009,-11,6000
30.009,26.402,-10.5,10000
26.402,30.224,-10,6000
30.224,30.566,-10.1,10000
30.566,26.924,-10.3,10000
26.924,26.899,-10.6,6000
26.899,26.898,-9.8,6000
26.898,26.954,-9.3,6000
26.954,30.667,-8.8,6000
30.667,30.58,-10.1,10000
30.58,30.194,-11.3,10000
30.194,30.12,-12.8,10000
30.12,29.949,-13.3,10000
29.949,29.709,-14.1,10000
29.709,29.587,-15,10000
29.587,29.481,-16,10000
29.481,25.576,-17.1,10000
25.576,19.595,-18.2,6000
19.595,24.964,-17.5,0
24.964,24.835,-16.7,6000
24.835,24.865,-16.1,6000
24.865,19.077,-15.1,6000
19.077,28.276,-14.1,0
28.276,24.631,-13.3,10000
24.631,28.333,-12.3,6000
28.333,24.626,-11.3,10000
24.626,28.543,-10.6,6000
28.543,29.025,-9.1,10000
29.025,25.607,-7.9,10000
25.607,25.893,-6.6,6000
25.893,26.348,-4.9,6000
26.348,26.708,-3.2,6000
26.708,30.99,-1.7,6000
30.99,31.539,-0.3,10000
31.539,32.083,0.8,10000
32.083,32.199,2.2,10000
32.199,32.303,2.2,10000
32.303,32.328,2.2,10000
32.328,31.204,2.2,10000
31.204,29.454,-2.2,10000
29.454,23.997,-7,10000
23.997,17.778,-11.6,6000
17.778,22.775,-13.1,0
22.775,22.407,-14.5,6000
22.407,22.071,-16.1,6000
22.071,16.152,-17.2,6000
16.152,24.909,-18.6,0
24.909,21.263,-20,10000
21.263,24.746,-19.8,6000
24.746,21.117,-19.8,10000
21.117,24.761,-20,6000
24.761,24.916,-20.1,10000
24.916,21.293,-20.2,10000
21.293,21.265,-20.6,6000
21.265,21.341,-20.2,6000
21.341,21.287,-20.1,6000
21.287,24.897,-20,6000
24.897,24.878,-20.1,10000
24.878,24.756,-20.2,10000
24.756,24.858,-20.6,10000
24.858,25.004,-20.5,10000
25.004,24.984,-20.5,10000
24.984,24.826,-20.6,10000
24.826,24.601,-21.2,10000
24.601,20.62,-22,10000
20.62,14.311,-22.7,6000
14.311,19.257,-24.7,0
19.257,18.645,-26.7,6000
18.645,18.325,-28.8,6000
18.325,12.243,-29.7,6000
12.243,21.157,-30.7,0
21.157,17.024,-31.7,10000
17.024,19.875,-32.7,6000
19.875,15.523,-33.7,10000
15.523,19.436,-35,6000
19.436,19.938,-33,10000
19.938,16.906,-31.2,10000
16.906,16.88,-29.3,6000
16.88,16.791,-28.6,6000
16.791,16.766,-27.7,6000
16.766,20.386,-27.2,6000
20.386,20.385,-27.5,10000
20.385,20.236,-27.7,10000
20.236,20.087,-28.2,10000
20.087,19.797,-28.2,10000
19.797,19.628,-28.2,10000
19.628,19.8,-28.2,10000
19.8,20.075,-27.5,10000
20.075,16.593,-26.7,10000
16.593,10.921,-26.1,6000
10.921,16.361,-25.2,0
16.361,16.527,-24.5,6000
16.527,16.467,-23.8,6000
16.467,10.643,-23.6,6000
