index,temp out,temp in
     268.0,     -18.0,       8.0
     269.0,     -18.0,       9.0
     270.0,     -18.0,      10.0
     271.0,     -18.0,      11.0
     272.0,     -18.0,      12.0
     273.0,     -18.0,      13.0
     274.0,     -18.0,      14.0
     275.0,     -18.0,      15.0
     276.0,     -18.0,      16.0
     277.0,     -18.0,      17.0
     278.0,     -18.0,      18.0
     279.0,     -18.0,      19.0
     280.0,     -18.0,      20.0
     281.0,     -18.0,      21.0
     282.0,     -18.0,      22.0
     283.0,     -18.0,      23.0
     284.0,     -18.0,      24.0
     285.0,     -18.0,      25.0
     286.0,     -18.0,      26.0
     287.0,     -18.0,      27.0
     288.0,     -18.0,      28.0
     289.0,     -18.0,      29.0
     290.0,     -18.0,      30.0
     291.0,     -18.0,      31.0
     292.0,     -18.0,      32.0
     293.0,     -18.0,      33.0
     294.0,     -18.0,      34.0
     295.0,     -18.0,      35.0
     296.0,     -18.0,      36.0
     297.0,     -18.0,      37.0
     298.0,     -18.0,      38.0
     299.0,     -18.0,      39.0
     300.0,     -18.0,      40.0
     301.0,     -18.0,      41.0
     302.0,     -18.0,      42.0
     303.0,     -18.0,      43.0
     304.0,     -18.0,      44.0
     305.0,     -18.0,      45.0
     306.0,     -18.0,      46.0
     307.0,     -18.0,      47.0
     308.0,     -18.0,      48.0
     309.0,     -18.0,      49.0
     310.0,     -18.0,      50.0
     311.0,     -18.0,      51.0
     312.0,     -18.0,      52.0
     313.0,     -18.0,      53.0
     314.0,     -18.0,      54.0
     315.0,     -18.0,      55.0
     316.0,     -18.0,      56.0
     317.0,     -18.0,      57.0
     318.0,     -17.0,       5.0
     319.0,     -17.0,       6.0
     320.0,     -17.0,       7.0
     321.0,     -17.0,       8.0
     322.0,     -17.0,       9.0
     323.0,     -17.0,      10.0
     324.0,     -17.0,      11.0
     325.0,     -17.0,      12.0
     326.0,     -17.0,      13.0
     327.0,     -17.0,      14.0
     328.0,     -17.0,      15.0
     329.0,     -17.0,      16.0
     330.0,     -17.0,      17.0
     331.0,     -17.0,      18.0
     332.0,     -17.0,      19.0
     333.0,     -17.0,      20.0
     334.0,     -17.0,      21.0
     335.0,     -17.0,      22.0
     336.0,     -17.0,      23.0
     337.0,     -17.0,      24.0
     338.0,     -17.0,      25.0
     339.0,     -17.0,      26.0
     340.0,     -17.0,      27.0
     341.0,     -17.0,      28.0
     342.0,     -17.0,      29.0
     343.0,     -17.0,      30.0
     344.0,     -17.0,      31.0
     345.0,     -17.0,      32.0
     346.0,     -17.0,      33.0
     347.0,     -17.0,      34.0
     348.0,     -17.0,      35.0
     349.0,     -17.0,      36.0
     350.0,     -17.0,      37.0
     351.0,     -17.0,      38.0
     352.0,     -17.0,      39.0
     353.0,     -17.0,      40.0
     354.0,     -17.0,      41.0
     355.0,     -17.0,      42.0
     356.0,     -17.0,      43.0
