index,temp out,temp in
     638.0,     -14.0,      12.0
     639.0,     -14.0,      13.0
     640.0,     -14.0,      14.0
     641.0,     -14.0,      15.0
     642.0,     -14.0,      16.0
     643.0,     -14.0,      17.0
     644.0,     -14.0,      18.0
     645.0,     -14.0,      19.0
     646.0,     -14.0,      20.0
     647.0,     -14.0,      21.0
     648.0,     -14.0,      22.0
     649.0,     -14.0,      23.0
     650.0,     -14.0,      24.0
     651.0,     -14.0,      25.0
     652.0,     -14.0,      26.0
     653.0,     -14.0,      27.0
     654.0,     -14.0,      28.0
     655.0,     -14.0,      29.0
     656.0,     -14.0,      30.0
     657.0,     -14.0,      31.0
     658.0,     -14.0,      32.0
     659.0,     -14.0,      33.0
     660.0,     -13.0,       4.0
     661.0,     -13.0,       5.0
     662.0,     -13.0,       6.0
     663.0,     -13.0,       7.0
     664.0,     -13.0,       8.0
     665.0,     -13.0,       9.0
     666.0,     -13.0,      10.0
     667.0,     -13.0,      11.0
     668.0,     -13.0,      12.0
     669.0,     -13.0,      13.0
     670.0,     -13.0,      14.0
     671.0,     -13.0,      15.0
     672.0,     -13.0,      16.0
     673.0,     -13.0,      17.0
     674.0,     -13.0,      18.0
     675.0,     -13.0,      19.0
     676.0,     -13.0,      20.0
     677.0,     -13.0,      21.0
     678.0,     -13.0,      22.0
     679.0,     -13.0,      23.0
     680.0,     -13.0,      24.0
     681.0,     -13.0,      25.0
     682.0,     -13.0,      26.0
     683.0,     -13.0,      27.0
     684.0,     -13.0,      28.0
     685.0,     -13.0,      29.0
     686.0,     -13.0,      30.0
     687.0,     -13.0,      31.0
     688.0,     -13.0,      32.0
     689.0,     -13.0,      33.0
     690.0,     -12.0,       4.0
     691.0,     -12.0,       5.0
     692.0,     -12.0,       6.0
     693.0,     -12.0,       7.0
     694.0,     -12.0,       8.0
     695.0,     -12.0,       9.0
     696.0,     -12.0,      10.0
     697.0,     -12.0,      11.0
     698.0,     -12.0,      12.0
     699.0,     -12.0,      13.0
     700.0,     -12.0,      14.0
     701.0,     -12.0,      15.0
     702.0,     -12.0,      16.0
     703.0,     -12.0,      17.0
     704.0,     -12.0,      18.0
     705.0,     -12.0,      19.0
     706.0,     -12.0,      20.0
     707.0,     -12.0,      21.0
     708.0,     -12.0,      22.0
     709.0,     -12.0,      23.0
     710.0,     -12.0,      24.0
     711.0,     -12.0,      25.0
     712.0,     -12.0,      26.0
     713.0,     -12.0,      27.0
     714.0,     -12.0,      28.0
     715.0,     -12.0,      29.0
     716.0,     -12.0,      30.0
     717.0,     -12.0,      31.0
     718.0,     -12.0,      32.0
     719.0,     -12.0,      33.0
     720.0,     -11.0,       4.0
     721.0,     -11.0,       5.0
     722.0,     -11.0,       6.0
     723.0,     -11.0,       7.0
     724.0,     -11.0,       8.0
     725.0,     -11.0,       9.0
     726.0,     -11.0,      10.0
     727.0,     -11.0,      11.0
     728.0,     -11.0,      12.0
     729.0,     -11.0,      13.0
     730.0,     -11.0,      14.0
     731.0,     -11.0,      15.0
     732.0,     -11.0,      16.0
     733.0,     -11.0,      17.0
     734.0,     -11.0,      18.0
     735.0,     -11.0,      19.0
     736.0,     -11.0,      20.0
     737.0,     -11.0,      21.0
     738.0,     -11.0,      22.0
     739.0,     -11.0,      23.0
     740.0,     -11.0,      24.0
     741.0,     -11.0,      25.0
     742.0,     -11.0,      26.0
     743.0,     -11.0,      27.0
     744.0,     -11.0,      28.0
     745.0,     -11.0,      29.0
     746.0,     -11.0,      30.0
     747.0,     -11.0,      31.0
     748.0,     -11.0,      32.0
     749.0,     -11.0,      33.0
     750.0,     -10.0,       4.0
     751.0,     -10.0,       5.0
     752.0,     -10.0,       6.0
     753.0,     -10.0,       7.0
     754.0,     -10.0,       8.0
     755.0,     -10.0,       9.0
     756.0,     -10.0,      10.0
     757.0,     -10.0,      11.0
     758.0,     -10.0,      12.0
     759.0,     -10.0,      13.0
     760.0,     -10.0,      14.0
     761.0,     -10.0,      15.0
     762.0,     -10.0,      16.0
     763.0,     -10.0,      17.0
     764.0,     -10.0,      18.0
     765.0,     -10.0,      19.0
     766.0,     -10.0,      20.0
     767.0,     -10.0,      21.0
     768.0,     -10.0,      22.0
     769.0,     -10.0,      23.0
     770.0,     -10.0,      24.0
     771.0,     -10.0,      25.0
     772.0,     -10.0,      26.0
     773.0,     -10.0,      27.0
     774.0,     -10.0,      28.0
     775.0,     -10.0,      29.0
     776.0,     -10.0,      30.0
     777.0,     -10.0,      31.0
     778.0,     -10.0,      32.0
     779.0,     -10.0,      33.0
     780.0,      -9.0,       4.0
     781.0,      -9.0,       5.0
     782.0,      -9.0,       6.0
     783.0,      -9.0,       7.0
     784.0,      -9.0,       8.0
     785.0,      -9.0,       9.0
     786.0,      -9.0,      10.0
     787.0,      -9.0,      11.0
     788.0,      -9.0,      12.0
     789.0,      -9.0,      13.0
     790.0,      -9.0,      14.0
     791.0,      -9.0,      15.0
     792.0,      -9.0,      16.0
     793.0,      -9.0,      17.0
     794.0,      -9.0,      18.0
     795.0,      -9.0,      19.0
     796.0,      -9.0,      20.0
     797.0,      -9.0,      21.0
     798.0,      -9.0,      22.0
     799.0,      -9.0,      23.0
     800.0,      -9.0,      24.0
     801.0,      -9.0,      25.0
     802.0,      -9.0,      26.0
     803.0,      -9.0,      27.0
     804.0,      -9.0,      28.0
     805.0,      -9.0,      29.0
     806.0,      -9.0,      30.0
     807.0,      -9.0,      31.0
     808.0,      -9.0,      32.0
     809.0,      -9.0,      33.0
     810.0,      -8.0,       4.0
     811.0,      -8.0,       5.0
     812.0,      -8.0,       6.0
     813.0,      -8.0,       7.0
     814.0,      -8.0,       8.0
     815.0,      -8.0,       9.0
     816.0,      -8.0,      10.0
     817.0,      -8.0,      11.0
     818.0,      -8.0,      12.0
     819.0,      -8.0,      13.0
     820.0,      -8.0,      14.0
     821.0,      -8.0,      15.0
     822.0,      -8.0,      16.0
     823.0,      -8.0,      17.0
     824.0,      -8.0,      18.0
     825.0,      -8.0,      19.0
     826.0,      -8.0,      20.0
     827.0,      -8.0,      21.0
     828.0,      -8.0,      22.0
     829.0,      -8.0,      23.0
     830.0,      -8.0,      24.0
     831.0,      -8.0,      25.0
     832.0,      -8.0,      26.0
     833.0,      -8.0,      27.0
     834.0,      -8.0,      28.0
     835.0,      -8.0,      29.0
     836.0,      -8.0,      30.0
     837.0,      -8.0,      31.0
     838.0,      -8.0,      32.0
     839.0,      -8.0,      33.0
     840.0,      -7.0,       4.0
     841.0,      -7.0,       5.0
     842.0,      -7.0,       6.0
     843.0,      -7.0,       7.0
     844.0,      -7.0,       8.0
     845.0,      -7.0,       9.0
     846.0,      -7.0,      10.0
     847.0,      -7.0,      11.0
     848.0,      -7.0,      12.0
     849.0,      -7.0,      13.0
     850.0,      -7.0,      14.0
     851.0,      -7.0,      15.0
     852.0,      -7.0,      16.0
     853.0,      -7.0,      17.0
